trade_id,timestamp,instrument,trade_type,currency,quantity,entry_price,market_price,status,desk,counterparty
TRD-001,2024-03-14T08:14:22,AAPL,BUY,USD,150,171.50,174.20,SETTLED,Equities,Morgan Stanley
TRD-002,2024-03-14T08:31:05,MSFT,BUY,USD,80,415.00,418.50,SETTLED,Equities,Goldman Sachs
TRD-003,2024-03-14T08:45:17,EUR/SEK,BUY,SEK,500000,11.42,11.38,SETTLED,FX,SEB
TRD-004,2024-03-14T09:02:44,NOVO B,SELL,DKK,200,892.00,901.50,SETTLED,Equities,Nordea
TRD-005,2024-03-14T09:18:33,BTC/EUR,BUY,EUR,2,61200.00,63450.00,SETTLED,Crypto,Coinbase
TRD-006,2024-03-14T09:35:11,USD/EUR,SELL,USD,250000,0.921,0.918,SETTLED,FX,Deutsche Bank
TRD-007,2024-03-14T09:51:28,TSLA,BUY,USD,45,178.30,172.10,SETTLED,Equities,JP Morgan
TRD-008,2024-03-14T10:08:54,GBP/EUR,BUY,GBP,100000,1.172,1.168,SETTLED,FX,Barclays
TRD-009,2024-03-14T10:24:17,SPOT GOLD,BUY,USD,50,2318.00,2341.50,SETTLED,Commodities,HSBC
TRD-010,2024-03-14T10:41:03,VOLV B,BUY,SEK,300,271.80,275.40,SETTLED,Equities,Swedbank
TRD-011,2024-03-14T11:02:39,ETH/EUR,SELL,EUR,15,3210.00,3180.00,SETTLED,Crypto,Kraken
TRD-012,2024-03-14T11:19:22,NOK/EUR,BUY,NOK,750000,0.0862,0.0871,SETTLED,FX,DNB
TRD-013,2024-03-14T11:38:47,NVIDIA,BUY,USD,25,875.00,912.40,SETTLED,Equities,Goldman Sachs
TRD-014,2024-03-14T11:55:14,EUR/PLN,SELL,PLN,400000,4.312,4.298,SETTLED,FX,PKO Bank
TRD-015,2024-03-14T12:14:33,SAMPO,BUY,EUR,180,46.82,47.15,SETTLED,Equities,OP Pohjola
TRD-016,2024-03-14T12:31:08,CHF/EUR,BUY,CHF,80000,1.048,1.051,SETTLED,FX,UBS
TRD-017,2024-03-14T12:48:55,WTI CRUDE,SELL,USD,100,81.40,79.20,SETTLED,Commodities,Vitol
TRD-018,2024-03-14T13:05:22,ERICSSON B,BUY,SEK,500,74.20,73.10,SETTLED,Equities,Handelsbanken
TRD-019,2024-03-14T13:22:41,SOL/EUR,BUY,EUR,80,142.50,138.20,SETTLED,Crypto,Binance
TRD-020,2024-03-14T13:41:18,GBP/USD,SELL,GBP,120000,1.274,1.269,SETTLED,FX,HSBC
TRD-021,2024-03-14T14:02:33,AMAZON,BUY,USD,30,185.40,188.90,SETTLED,Equities,Morgan Stanley
TRD-022,2024-03-14T14:19:07,EUR/NOK,BUY,NOK,600000,11.621,11.598,SETTLED,FX,Nordea
TRD-023,2024-03-14T14:38:44,FORTUM,SELL,EUR,250,14.82,14.55,SETTLED,Equities,OP Pohjola
TRD-024,2024-03-14T14:55:21,XRP/EUR,BUY,EUR,5000,0.582,0.571,SETTLED,Crypto,Coinbase
TRD-025,2024-03-14T15:14:38,SILVER SPOT,BUY,USD,200,27.40,27.85,SETTLED,Commodities,HSBC
TRD-026,2024-03-14T15:31:55,NOKIA,BUY,EUR,800,3.821,3.790,SETTLED,Equities,Nordea
TRD-027,2024-03-14T15:49:12,USD/CHF,SELL,USD,90000,0.895,0.891,SETTLED,FX,Credit Suisse
TRD-028,2024-03-14T16:08:29,VESTAS,BUY,DKK,100,142.50,148.20,SETTLED,Equities,Danske Bank
TRD-029,2024-03-14T16:25:44,BNB/EUR,SELL,EUR,30,392.00,381.50,SETTLED,Crypto,Binance
TRD-030,2024-03-14T16:42:18,NGAS SPOT,BUY,USD,500,2.142,2.198,SETTLED,Commodities,Vitol
TRD-031,2024-03-14T17:01:33,ALPHABET,BUY,USD,20,172.80,175.40,SETTLED,Equities,Goldman Sachs
TRD-032,2024-03-14T17:18:52,SEK/EUR,SELL,SEK,450000,0.0881,0.0878,SETTLED,FX,SEB
TRD-033,2024-03-14T17:38:07,NESTE,BUY,EUR,120,18.42,17.85,SETTLED,Equities,OP Pohjola
TRD-034,2024-03-14T17:55,MATIC/EUR,BUY,EUR,2000,0.891,0.842,SETTLED,Crypto,Kraken
TRD-035,2024-03-14T18:14:22,BRENT CRUDE,BUY,USD,80,85.20,86.80,SETTLED,Commodities,Vitol
TRD-036,2024-03-14T22:31:18,TSLA,SELL,USD,60,172.10,164.30,SETTLED,Equities,JP Morgan
TRD-037,2024-03-14T23:08:44,BTC/EUR,SELL,EUR,3,63450.00,68200.00,SETTLED,Crypto,Coinbase
TRD-038,2024-03-14T23:42:11,EUR/USD,BUY,USD,300000,1.086,1.079,SETTLED,FX,Deutsche Bank
TRD-039,2024-03-15T01:15:33,NVIDIA,SELL,USD,30,912.40,891.20,SETTLED,Equities,Goldman Sachs
TRD-040,2024-03-15T02:48:22,ETH/EUR,BUY,EUR,20,3180.00,3420.00,SETTLED,Crypto,Binance
TRD-041,2024-03-14T09:14:55,SPOT GOLD,BUY,USD,100,2318.00,2318.00,FAILED,Commodities,HSBC
TRD-042,2024-03-14T09:52:18,SPOT GOLD,BUY,USD,75,2318.00,2318.00,FAILED,Commodities,HSBC
TRD-043,2024-03-14T10:31:44,SPOT GOLD,BUY,USD,50,2318.00,2318.00,FAILED,Commodities,HSBC
TRD-044,2024-03-14T11:18:22,AAPL,SELL,USD,200,174.20,174.20,FAILED,Equities,Morgan Stanley
TRD-045,2024-03-14T12:44:38,GBP/EUR,SELL,GBP,50000,1.168,1.168,FAILED,FX,Barclays
TRD-046,2024-03-14T08:22:15,PALLADIUM,BUY,USD,30,1042.00,1142.00,SETTLED,Commodities,HSBC
TRD-047,2024-03-14T10:55:33,UNISWAP,BUY,EUR,500,9.82,10.94,SETTLED,Crypto,Kraken
TRD-048,2024-03-14T13:18:44,META,BUY,USD,40,512.00,561.40,SETTLED,Equities,Goldman Sachs
TRD-049,2024-03-14T15:42:11,PLN/EUR,BUY,PLN,800000,0.231,0.248,SETTLED,FX,PKO Bank
TRD-050,2024-03-14T14:08:55,COPPER,SELL,USD,300,4.21,3.89,SETTLED,Commodities,Vitol
